Threshold, DrainDen, NoFirstOrd,NoHighOrd, MeanDFirstOrd, MeanDHighOrd, StdDevFirstOrd, StdDevHighOrd, T
5000.000000, 4.428588e-004, 222, 37, 71.885040, 236.852875, 101.957512, 171.946503, -8.122914
10000.000000, 3.060593e-004, 88, 18, 87.088974, 237.350967, 124.312805, 187.473068, -4.250803
15000.000000, 2.459060e-004, 53, 10, 127.433754, 220.445633, 185.587952, 224.114029, -1.406855
20000.000000, 1.960983e-004, 36, 4, 134.058563, 179.452637, 206.108917, 87.925293, -0.432066
25000.000000, 1.909237e-004, 30, 4, 147.632980, 179.452637, 216.207092, 87.925293, -0.287984
30000.000000, 1.720107e-004, 23, 4, 130.929047, 179.452637, 195.827713, 87.925293, -0.481017
35000.000000, 1.598716e-004, 18, 4, 153.304626, 116.154297, 218.543167, 85.863144, 0.329105
40000.000000, 1.553492e-004, 15, 2, 166.639877, 269.273926, 226.404800, 42.266823, -0.622564
Optimum Threshold Value: 15000.000000
