	17	0	21	25	-1	-1	1	-1	1
	9	22	47	25	-1	-1	1	-1	1
	1	48	145	106	-1	-1	1	-1	1
	25	146	200	114	17	9	2	-1	2
	74	201	205	90	-1	-1	1	-1	1
	66	206	221	98	-1	-1	1	-1	1
	50	222	256	90	-1	-1	1	-1	1
	42	257	263	82	-1	-1	1	-1	1
	26	264	274	82	-1	-1	1	-1	1
	18	275	333	98	-1	-1	1	-1	1
	10	334	335	106	-1	-1	1	-1	1
	2	336	372	114	-1	-1	1	-1	1
	219	373	401	227	211	99	4	-1	17
	211	402	429	219	203	3	4	-1	15
	203	430	444	211	195	123	4	-1	14
	195	445	488	203	187	19	3	-1	9
	187	489	518	195	179	51	3	-1	8
	179	519	562	187	171	114	3	-1	7
	171	563	583	179	107	106	3	-1	4
	106	584	682	171	1	10	2	-1	2
	114	683	766	179	25	2	2	-1	3
	155	767	777	163	147	91	2	-1	5
	147	778	796	155	139	34	2	-1	4
	139	797	815	147	90	27	2	-1	3
	131	816	823	227	188	83	3	-1	8
	123	824	852	203	98	115	3	-1	5
	115	853	857	123	82	58	2	-1	3
	188	858	932	131	180	172	3	-1	7
	34	933	1082	147	-1	-1	1	-1	1
	58	1083	1150	115	-1	-1	1	-1	1
	98	1151	1162	123	66	18	2	-1	2
	82	1163	1215	115	26	42	2	-1	2
	90	1216	1292	139	50	74	2	-1	2
	107	1293	1335	171	35	11	2	-1	2
	99	1336	1354	219	59	67	2	-1	2
	91	1355	1406	155	-1	-1	1	-1	1
	83	1407	1449	131	-1	-1	1	-1	1
	75	1450	1484	163	-1	-1	1	-1	1
	67	1485	1487	99	-1	-1	1	-1	1
	59	1488	1490	99	-1	-1	1	-1	1
	51	1491	1545	187	-1	-1	1	-1	1
	35	1546	1577	107	-1	-1	1	-1	1
	27	1578	1613	139	-1	-1	1	-1	1
	19	1614	1637	195	-1	-1	1	-1	1
	11	1638	1693	107	-1	-1	1	-1	1
	3	1694	1757	211	-1	-1	1	-1	1
	268	1758	1773	276	260	77	4	-1	38
	260	1774	1836	268	252	84	4	-1	36
	252	1837	1846	260	244	69	4	-1	35
	244	1847	1880	252	236	108	4	-1	31
	236	1881	1899	244	228	164	4	-1	30
	228	1900	1913	236	227	204	4	-1	28
	227	1914	1988	228	219	131	4	-1	25
	220	1989	2070	276	212	52	3	-1	9
	212	2071	2089	220	132	163	3	-1	8
	163	2090	2110	212	155	75	2	-1	6
	204	2111	2128	228	196	68	2	-1	3
	196	2129	2130	204	43	60	2	-1	2
	77	2131	2167	268	37	45	2	-1	2
	69	2168	2205	252	61	5	2	-1	4
	43	2206	2303	196	-1	-1	1	-1	1
	180	2304	2335	188	156	140	3	-1	5
	172	2336	2348	188	92	124	2	-1	2
	164	2349	2378	236	116	100	2	-1	2
	156	2379	2436	180	148	44	2	-1	3
	148	2437	2446	156	76	20	2	-1	2
	140	2447	2463	180	28	36	2	-1	2
	132	2464	2477	212	12	4	2	-1	2
	124	2478	2569	172	-1	-1	1	-1	1
	116	2570	2601	164	-1	-1	1	-1	1
	108	2602	2603	244	-1	-1	1	-1	1
	100	2604	2644	164	-1	-1	1	-1	1
	92	2645	2651	172	-1	-1	1	-1	1
	84	2652	2714	260	-1	-1	1	-1	1
	76	2715	2745	148	-1	-1	1	-1	1
	68	2746	2748	204	-1	-1	1	-1	1
	60	2749	2750	196	-1	-1	1	-1	1
	52	2751	2766	220	-1	-1	1	-1	1
	44	2767	2768	156	-1	-1	1	-1	1
	36	2769	2770	140	-1	-1	1	-1	1
	28	2771	2774	140	-1	-1	1	-1	1
	20	2775	2789	148	-1	-1	1	-1	1
	12	2790	2791	132	-1	-1	1	-1	1
	4	2792	2793	132	-1	-1	1	-1	1
	276	2794	2828	-1	268	220	4	1	47
	61	2829	2848	69	53	13	2	-1	3
	53	2849	2850	61	21	29	2	-1	2
	45	2851	2906	77	-1	-1	1	-1	1
	37	2907	2910	77	-1	-1	1	-1	1
	29	2911	2930	53	-1	-1	1	-1	1
	21	2931	2933	53	-1	-1	1	-1	1
	13	2934	2935	61	-1	-1	1	-1	1
	5	2936	2937	69	-1	-1	1	-1	1
