	82	0	11	90	74	26	2	-1	4
	74	12	28	82	66	42	2	-1	3
	66	29	57	74	18	1	2	-1	2
	11	58	144	58	-1	-1	1	-1	1
	1	145	283	66	-1	-1	1	-1	1
	50	284	384	58	10	2	2	-1	2
	42	385	499	74	-1	-1	1	-1	1
	34	500	501	90	-1	-1	1	-1	1
	26	502	504	82	-1	-1	1	-1	1
	18	505	506	66	-1	-1	1	-1	1
	10	507	517	50	-1	-1	1	-1	1
	2	518	552	50	-1	-1	1	-1	1
	115	553	572	123	107	35	3	-1	13
	107	573	574	115	99	43	3	-1	12
	99	575	589	107	91	27	3	-1	11
	91	590	596	99	83	19	3	-1	10
	83	597	658	91	75	90	3	-1	9
	75	659	736	83	58	3	2	-1	4
	90	737	866	83	82	34	2	-1	5
	58	867	882	75	50	11	2	-1	3
	51	883	885	123	-1	-1	1	-1	1
	43	886	887	107	-1	-1	1	-1	1
	35	888	891	115	-1	-1	1	-1	1
	27	892	893	99	-1	-1	1	-1	1
	19	894	1175	91	-1	-1	1	-1	1
	3	1176	1178	75	-1	-1	1	-1	1
	140	1179	1259	148	132	36	3	-1	21
	132	1260	1261	140	124	44	3	-1	20
	124	1262	1346	132	116	28	3	-1	19
	116	1347	1384	124	108	92	3	-1	18
	108	1385	1405	116	100	59	3	-1	16
	100	1406	1417	108	123	4	3	-1	15
	123	1418	1457	100	115	51	3	-1	14
	59	1458	1704	108	-1	-1	1	-1	1
	109	1705	1746	148	85	52	2	-1	2
	92	1747	1768	116	67	12	2	-1	2
	13	1769	1809	84	-1	-1	1	-1	1
	67	1810	1883	92	-1	-1	1	-1	1
	76	1884	1903	84	68	20	2	-1	2
	68	1904	1905	76	-1	-1	1	-1	1
	44	1906	1909	132	-1	-1	1	-1	1
	36	1910	1911	140	-1	-1	1	-1	1
	28	1912	1994	124	-1	-1	1	-1	1
	20	1995	2097	76	-1	-1	1	-1	1
	12	2098	2189	92	-1	-1	1	-1	1
	4	2190	2192	100	-1	-1	1	-1	1
	205	2193	2303	213	197	69	3	-1	35
	197	2304	2318	205	189	61	3	-1	34
	189	2319	2323	197	181	53	3	-1	33
	181	2324	2347	189	173	133	3	-1	32
	173	2348	2363	181	165	45	3	-1	27
	165	2364	2372	173	157	37	3	-1	26
	157	2373	2422	165	149	21	3	-1	25
	149	2423	2473	157	148	60	3	-1	24
	148	2474	2493	149	140	109	3	-1	23
	141	2494	2512	213	125	101	3	-1	10
	133	2513	2567	181	117	29	2	-1	5
	125	2568	2613	141	190	150	3	-1	9
	117	2614	2645	133	84	5	2	-1	4
	190	2646	2667	125	182	93	2	-1	7
	84	2668	2671	117	76	13	2	-1	3
	150	2672	2677	125	6	54	2	-1	2
	52	2678	2830	109	-1	-1	1	-1	1
	60	2831	2864	149	-1	-1	1	-1	1
	101	2865	2866	141	-1	-1	1	-1	1
	85	2867	3024	109	-1	-1	1	-1	1
	69	3025	3026	205	-1	-1	1	-1	1
	61	3027	3028	197	-1	-1	1	-1	1
	53	3029	3030	189	-1	-1	1	-1	1
	45	3031	3037	173	-1	-1	1	-1	1
	37	3038	3039	165	-1	-1	1	-1	1
	29	3040	3041	133	-1	-1	1	-1	1
	21	3042	3043	157	-1	-1	1	-1	1
	5	3044	3045	117	-1	-1	1	-1	1
	246	3046	3047	-1	238	94	4	0	53
	238	3048	3128	246	230	86	4	-1	52
	230	3129	3130	238	222	110	4	-1	51
	222	3131	3183	230	214	78	4	-1	50
	214	3184	3218	222	206	134	4	-1	49
	206	3219	3237	214	198	102	4	-1	47
	198	3238	3389	206	213	62	4	-1	46
	213	3390	3461	198	205	141	4	-1	45
	77	3462	3725	-1	-1	-1	1	0	1
	93	3726	3770	190	-1	-1	1	-1	1
	182	3771	3800	190	174	70	2	-1	6
	174	3801	3841	182	166	22	2	-1	5
	166	3842	3843	174	158	14	2	-1	4
	158	3844	3851	166	142	30	2	-1	3
	142	3852	3882	158	46	38	2	-1	2
	134	3883	3978	214	126	118	2	-1	2
	126	3979	3982	134	-1	-1	1	-1	1
	118	3983	3986	134	-1	-1	1	-1	1
	110	3987	4017	230	-1	-1	1	-1	1
	102	4018	4069	206	-1	-1	1	-1	1
	94	4070	4071	246	-1	-1	1	-1	1
	86	4072	4073	238	-1	-1	1	-1	1
	78	4074	4075	222	-1	-1	1	-1	1
	70	4076	4155	182	-1	-1	1	-1	1
	62	4156	4220	198	-1	-1	1	-1	1
	54	4221	4252	150	-1	-1	1	-1	1
	46	4253	4257	142	-1	-1	1	-1	1
	38	4258	4259	142	-1	-1	1	-1	1
	30	4260	4261	158	-1	-1	1	-1	1
	22	4262	4263	174	-1	-1	1	-1	1
	14	4264	4265	166	-1	-1	1	-1	1
	6	4266	4267	150	-1	-1	1	-1	1
