Threshold, DrainDen, NoFirstOrd,NoHighOrd, MeanDFirstOrd, MeanDHighOrd, StdDevFirstOrd, StdDevHighOrd, T
5.000000, 2.600098e-003, 2394, 729, 68.691093, 128.646606, 77.710190, 132.430115, -15.176925
8.340503, 1.957702e-003, 1239, 371, 88.713196, 147.549332, 99.124298, 142.494202, -8.987095
13.912798, 1.622408e-003, 824, 245, 100.623047, 162.180084, 104.181503, 153.861115, -7.204886
23.207947, 1.290646e-003, 481, 144, 117.487785, 188.351089, 109.078796, 165.318756, -6.003522
38.713192, 1.046937e-003, 308, 99, 118.610924, 213.769348, 107.467682, 171.588242, -6.536287
64.577499, 8.282648e-004, 197, 72, 117.083649, 215.004440, 125.489609, 166.168930, -5.171746
107.721756, 6.665160e-004, 112, 38, 160.808380, 239.083878, 153.113815, 162.634750, -2.680493
179.690720, 5.533681e-004, 77, 19, 195.285370, 269.439911, 165.066849, 156.966827, -1.770036
299.742218, 4.365431e-004, 52, 14, 200.697662, 255.433441, 136.855179, 168.146484, -1.264493
500.000183, 3.240242e-004, 32, 4, 209.430817, 289.485138, 151.132065, 135.973572, -1.007311
Optimum Threshold Value: 179.690720
