Threshold, DrainDen, NoFirstOrd,NoHighOrd, MeanDFirstOrd, MeanDHighOrd, StdDevFirstOrd, StdDevHighOrd, T
5.000000, 2.600098e-003, 2394, 729, 68.691048, 128.646606, 77.710243, 132.430130, -15.176930
8.340503, 1.957702e-003, 1239, 371, 88.713226, 147.549271, 99.124260, 142.494293, -8.987081
13.912798, 1.622408e-003, 824, 245, 100.623047, 162.180069, 104.181526, 153.861191, -7.204881
23.207947, 1.290646e-003, 481, 144, 117.487747, 188.351105, 109.078865, 165.318756, -6.003524
38.713192, 1.046937e-003, 308, 99, 118.610886, 213.769379, 107.467743, 171.588211, -6.536291
64.577499, 8.282648e-004, 197, 72, 117.083679, 215.004456, 125.489616, 166.168900, -5.171746
107.721756, 6.665160e-004, 112, 38, 160.808426, 239.083878, 153.113770, 162.634735, -2.680492
179.690720, 5.533681e-004, 77, 19, 195.285355, 269.439911, 165.066879, 156.966782, -1.770036
299.742218, 4.365431e-004, 52, 14, 200.697647, 255.433456, 136.855225, 168.146454, -1.264493
500.000183, 3.240242e-004, 32, 4, 209.430801, 289.485138, 151.132095, 135.973572, -1.007311
Optimum Threshold Value: 179.690720
